"prime_mover","prime_mover_text"
"AB","Atmospheric Fluidized Bed"
"BA","Battery energy storage"
"BT","turbines used in a binary cycle"
"CA","Combined Cycle Steam Turbine with Supplemental Firing"
"CC","Combine Cycle - Total Unit"
"CE","Compressed Air Energy Storage"
"CG","not defined"
"CH","Steam Turbine, Common Header"
"CP","Concentrated solar power energy storage"
"CS","Combined Cycle Single Shaft (gas turbine and steam turbine share a single generator)"
"CT","Combined Cycle Combustion Turbine Part"
"CW","Combined Cycle Steam Turbine Part (Waste Heat Boiler Only)"
"FC","Fuel Cell (electrochemical)"
"FW","Flywheel energy storage"
"GE","Steam Turbine (geothermal)"
"GT","Combustion (gas) Turbine"
"HC","Hydraulic Turbine (conventional)"
"HL","Hydraulic Turbine (pipeline)"
"HR","Hydraulic Turbine (reversible)"
"HY","Hydraulic Turbine (conventional)"
"IC","Internal Combustion"
"IG","Integrated Coal Gasification Combined Cycle"
"JE","Jet Engine"
"NB","Steam Turbine (Boiling Water Nuclear Reactor)"
"NG","Steam Turbine (Graphite Nuclear Reactor)"
"NH","Steam Turbine (High-Temperature Gas-Cooled Nuclear Reactor)"
"NP","Steam Turbine (Pressurized Water Nuclear Reactor)"
"OC","Ocean Thermal Turbine"
"PB","Pressurized Fluidized Bed Combustion"
"PS","Hydraulic Turbine Reversible (pumped storage)"
"PV","Photovoltaic"
"SP","Photovoltaic"
"SS","Steam Turbine (Solar)"
"ST","Steam Turbine (Boiler)"
"VR","Various Types"
"WT","Wind Turbine"
"OT","Other (Explained in Notes)"
"NA","Unknown at this Time"
